"Economic.Region","Year","Population","Deaths_Suicide","Suicide_Rate"
"Alamo",2015,2357161,276,11.7090007852667
"Alamo",2016,2360314,312,13.2185802397478
"Alamo",2017,2450368,346,14.1203280486849
"Alamo",2018,2487219,342,13.7502970184773
"Alamo",2019,2522878,343,13.5955840908676
"Alamo",2020,2533994,374,14.7593088223571
"Capital",2015,1961715,254,12.9478543009561
"Capital",2016,2020869,258,12.7667849821042
"Capital",2017,2073147,274,13.2166218796834
"Capital",2018,2169680,301,13.8730135319494
"Capital",2019,2231574,303,13.5778602905393
"Capital",2020,2178535,287,13.1739907782065
"Central Texas",2015,908751,123,13.5350607592179
"Central Texas",2016,883189,119,13.4738996975732
"Central Texas",2017,897685,125,13.9247063279435
"Central Texas",2018,910115,153,16.8110623382759
"Central Texas",2019,961358,161,16.7471431038177
"Central Texas",2020,911691,137,15.0270212166183
"Gulf Coast",2015,6625504,767,11.5764778045565
"Gulf Coast",2016,6758510,757,11.2006936440133
"Gulf Coast",2017,6879920,799,11.6135071338039
"Gulf Coast",2018,6850443,777,11.3423321674233
"Gulf Coast",2019,6978582,814,11.6642607337708
"Gulf Coast",2020,6949721,866,12.4609318848915
"High Plains",2015,549977,96,17.4552754024259
"High Plains",2016,555068,106,19.0967593159757
"High Plains",2017,559768,99,17.6858984436409
"High Plains",2018,562029,120,21.3512114143576
"High Plains",2019,565697,115,20.3289039892381
"High Plains",2020,562720,114,20.2587432470856
"Metroplex",2015,7242247,838,11.5709944717434
"Metroplex",2016,7441676,893,11.9999849496269
"Metroplex",2017,7591470,993,13.0804705807966
"Metroplex",2018,7739760,1020,13.1787032156036
"Metroplex",2019,7770991,951,12.2378214052751
"Metroplex",2020,7662930,936,12.2146489658655
"Northwest",2015,267094,34,12.7296008146945
"Northwest",2016,267552,60,22.4255471833513
"Northwest",2017,288150,74,25.6810688877321
"Northwest",2018,269101,54,20.0668150620027
"Northwest",2019,270264,42,15.5403605363644
"Northwest",2020,269675,45,16.686752572541
"South Texas",2015,1956603,152,7.76856623443795
"South Texas",2016,1971564,158,8.01394223063517
"South Texas",2017,1954322,175,8.95451210189518
"South Texas",2018,1921583,152,7.9101449169773
"South Texas",2019,2021056,193,9.54946325089458
"South Texas",2020,2044068,198,9.68656620034167
"Southeast",2015,529267,86,16.2488876124905
"Southeast",2016,396539,56,14.1221922686041
"Southeast",2017,485701,74,15.23571085915
"Southeast",2018,631510,132,20.9022818324334
"Southeast",2019,595835,102,17.1188332340329
"Southeast",2020,596622,99,16.5934209600048
"Upper East",2015,694624,144,20.7306398857511
"Upper East",2016,753410,150,19.9094782389403
"Upper East",2017,820195,174,21.2144672913149
"Upper East",2018,709575,160,22.5487087341014
"Upper East",2019,813877,177,21.7477579535974
"Upper East",2020,760201,168,22.0994184432801
"Upper Rio Grande",2015,831898,69,8.29428607834133
"Upper Rio Grande",2016,834949,84,10.0604947128507
"Upper Rio Grande",2017,837401,82,9.79220230212288
"Upper Rio Grande",2018,836825,89,10.6354375168046
"Upper Rio Grande",2019,839238,100,11.9155710299105
"Upper Rio Grande",2020,836915,89,10.6342938052251
"West Texas",2015,439745,61,13.8716756301948
"West Texas",2016,357922,50,13.9695240862534
"West Texas",2017,475652,75,15.7678302624608
"West Texas",2018,488404,105,21.4985954250989
"West Texas",2019,498919,89,17.8385669818147
"West Texas",2020,451950,76,16.8160194711804
